id,purchase_url,status
"4982","https://www.flipkart.com/chisel-heavy-duty-km-5017-trimmer-60-min-runtime-5-length-settings/p/itm5559c010e4661?pid=TMRH7JZ2H78HZBTJ&lid=LSTTMRH7JZ2H78HZBTJTZMK9Z&marketplace=FLIPKART&store=zlw%2F79s%2Fby3&srno=b_1_2&otracker=dynamic_reco_New%2BYear%2BSpecials_5_1.dealCard.OMU_INFINITE_cid%3AS_F_N_zlw_79s_by3__d_50-100__NONE_ALL%3Bnid%3Azlw_79s_by3_%3Bet%3AS%3Beid%3Azlw_79s_by3_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B&fm=organic&iid=en_LuPP3Pf6zVemGdAUGEyTCzWLyGq8DLPZ_IrSTubaw_jlDL8BLNKTAlz7yyvJ84uLwQ8p2iN1zk-B3Le4rFL_Zg%3D%3D&ppt=browse&ppn=browse&ssid=jwnrl05c1s0000001735819608808","500"
"5366","https://www.flipkart.com/ads-combo/p/itm984f6e83ca7aa?pid=CBKFSF3AYHUWYCUP&cmpid=product.share.pp&_refId=PP.6be690ac-ba3a-4619-a4b9-16b5f014ce7c.CBKFSF3AYHUWYCUP&_appId=CL","500"
"5456","https://www.flipkart.com/breil-fort-collins-full-sleeve-solid-women-jacket/p/itm5a9a0cc2d16d0?pid=JCKH2ZC3RMHHTFEW&lid=LSTJCKH2ZC3RMHHTFEW4GEXRA&marketplace=FLIPKART&q=best+jackets&store=clo%2Fqvw%2Fz0g%2Frwo&srno=s_1_15&otracker=search&fm=Search&iid=2c54f8f7-06ab-4ad6-80ab-64bd06c91598.JCKH2ZC3RMHHTFEW.SEARCH&ppt=sp&ppn=sp&ssid=6va7pdpmr40000001736509647716&qH=22ed749d7050eb29","500"
"5545","https://www.flipkart.com/rajovati-relaxed-men-dark-green-trousers/p/itm56f8ccce2aebe?pid=TROHFK2JQRFTZ4KW&cmpid=product.share.pp&_refId=PP.9033ce5f-57a7-45cf-93d2-6360a35f40df.TROHFK2JQRFTZ4KW&_appId=org.telegram.messenger","500"
"5588","https://www.flipkart.com/breil-fort-collins-full-sleeve-solid-women-jacket/p/itm4bcb839b60248?pid=JCKH44NRGFW2HHWP&cmpid=product.share.pp&_refId=PP.5aa57d56-8852-44c8-8cf3-1d029893c2a7.JCKH44NRGFW2HHWP&_appId=CL","500"
"5599","https://www.flipkart.com/dermdoc-2-kojic-acid-night-cream-skin-brightening-reduces-dark-spots-pigmentation/p/itm65a6eda28ebaa?pid=MSCH5Y8V6WKQKBMN&cmpid=product.share.pp&_refId=PP.aa446110-f407-48d7-917c-500233b98c32.MSCH5Y8V6WKQKBMN&_appId=WA","500"
"5897","https://www.flipkart.com/grocery-supermart-store?marketplace=GROCERY","400"
"5915","https://www.flipkart.com/techpunch-best-headphone-p-47-wireless-sports-microphone-bluetooth-white-ear-wired/p/itm4416ee510691b?pid=ACCGXY5QDSGQBWNJ&cmpid=product.share.pp&_refId=PP.bf96475d-dcc8-4eae-a802-0aa3bfb10267.ACCGXY5QDSGQBWNJ&_appId=CL","500"
"6026","https://www.flipkart.com/rv/orderDetails?grocery=false&hyperlocal=false&item_id=433239619327960100&link=MyOrders&order_id=OD433239619327960100&unit_id=433239619327960100000","400"
"6106","https://www.flipkart.com/roadster-men-checkered-casual-dark-green-shirt/p/itm2c1c5f6aa3ad5?pid=SHTFRFV4RUPYTVHP&cmpid=product.share.pp&_refId=PP.786cd223-b0ed-471d-90bd-b07894190d3b.SHTFRFV4RUPYTVHP&_appId=WA","500"
"6206","https://www.flipkart.com/star-shoes-outdoors-men/p/itmf0ce38bc07ece?pid=SHOGPCGFG2F3FYKP&cmpid=product.share.pp&_refId=PP.e273203b-8260-477e-9a15-5535f35f7079.SHOGPCGFG2F3FYKP&_appId=CL","500"
"6491","https://www.flipkart.com/bruton-trendy-stylish-casual-shoes-sneakers-men/p/itmf4b4bdd82f844?pid=SHOGZZZUWMPFE4R7&cmpid=product.share.pp&_refId=PP.37216309-68e8-48af-aebe-33e76490d30b.SHOGZZZUWMPFE4R7&_appId=CL","500"
"6647","https://www.flipkart.com/amblink-colourful-music-player-remote-control-smart-bulb/p/itm161b46167a611?pid=LLSGMKMJCNFHFA2G&lid=LSTLLSGMKMJCNFHFA2GVI6QZE&marketplace=FLIPKART&q=bluetooth+music+bulb&store=igc%2Fb4q&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=2a5f9fc7-d5cd-4866-a1d8-0bc5b2915e0d.LLSGMKMJCNFHFA2G.SEARCH&ppt=sp&ppn=sp&qH=5ad2fb4fc1547fac","500"
"6902","https://www.flipkart.com/store/paralians?pageUID=1736503247994","404"
"6952","https://www.flipkart.com/houseofcommon-full-sleeve-solid-men-jacket/p/itme83d5f776304c?pid=JCKH5WYB3S3UT7EZ&cmpid=product.share.pp&_refId=PP.09920cae-fca9-48cc-b235-df9eca739813.JCKH5WYB3S3UT7EZ&_appId=WA","500"
"6966","https://www.flipkart.com/janasya-women-kurta-pant-dupatta-set","404"
"7022","https://www.flipkart.com/skylee-women-kurta-pant-dupatta-set/p/itm4e66c9a0f3234?pid=ETHH4QS59ZZYAEPC&lid=LSTETHH4QS59ZZYAEPCBBGL54&marketplace=FLIPKART","500"
"7056","https://www.flipkart.com/livewell-premium-quality-hollend-fabric-3-seater-sofa/p/itmc7aa40270c3c4?pid=SOFHYCXAATYU5UWG&cmpid=product.share.pp&_refId=PP.f79cebba-1a75-40e4-8641-61dbcb567aa6.SOFHYCXAATYU5UWG&_appId=CL","500"
"7091","https://www.flipkart.com/bruton-lite-casual-shoes-sneakers-men/p/itmcd7ad4b09b42f?pid=SHOGYJE3TUQBJNHU&cmpid=product.share.pp&_refId=PP.ff068f63-2dd6-4bd6-8ce7-3c2000cf2bb1.SHOGYJE3TUQBJNHU&_appId=CL","500"
"7135","https://www.flipkart.com/ginni-magic-coin-dry-tablet-multi-use/p/itmc9c62ead59e28?pid=FLTF7G4FANQ3NBCP&cmpid=product.share.pp&_refId=PP.2eeca7f4-a222-4046-84a7-7b2d6ac3a62c.FLTF7G4FANQ3NBCP&_appId=CL","500"
"7267","https://www.flipkart.com/beadsnfashion-seed-beads-neon-opaque-diy-kit-jewellery-making-beading-arts-embroidery-15-colors-size-11-0-2-0-mm/p/itm3047e8009f895?pid=ACKG9S6QVGBZGEGT&cmpid=product.share.pp&_refId=PP.dad50617-9a95-4c8d-af82-cd0072dd2ad2.ACKG9S6QVGBZGEGT&_appId=CL","500"
